nor	Brasil	Cuba	Panama	Colombia	Republica Dominicana	Puerto Rico	Txina	Vietnam	Uzbekistan	Japonia	Indonesia	Hego Afrika	Azoreak	Bolivia	Myanmar	Cabo Verde	Georgia	Groenlandia	Hego Korea	Ecuador	Islandia	Turkia
andoni	8	6	4	3	5	7	9	1	1	1	1	1	1	1	1	1	10	1	1	1	1	2
amaia	9	1	4	10	1	1	1	6	1	3	8	7	1	1	1	1	1	1	1	1	1	1
beñat	4	3	1	2	8	7	1	9	1	1	5	1	1	1	1	10	1	1	1	6	1	1
lide	6	1	1	8	9	7	1	1	5	1	4	1	1	2	1	10	1	1	1	1	1	1
ekain	1	9	10	8	7	1	1	1	6	1	1	1	5	4	1	1	3	1	1	1	1	2
andrea	7	8	10	6	3	9	1	1	1	1	5	1	1	1	1	1	1	1	1	1	1	1
xabier_d	6	1	2	1	7	4	1	9	1	5	8	1	1	1	1	10	1	1	1	1	1	1
lorea	1	1	8	10	1	1	1	1	5	7	1	1	3	1	1	1	1	1	9	1	2	1
paul	1	1	10	9	8	7	1	1	1	1	1	1	5	1	1	4	3	1	1	1	1	1
cristina	1	10	2	3	1	1	6	1	1	1	9	7	1	1	1	2	1	1	1	1	5	1
antton	1	3	1	1	1	1	8	7	9	5	1	1	2	1	1	1	1	10	6	1	4	1
nahikari	3	2	5	10	1	1	1	1	6	9	1	1	1	1	1	1	4	1	1	1	1	1
josu	1	1	1	1	1	1	7	1	10	6	1	1	5	1	1	4	9	1	1	1	3	8
leire_r	1	7	1	1	1	1	9	6	1	8	4	1	3	1	1	5	2	1	10	1	1	1
xabier_m	9	6	1	1	1	1	8	7	10	1	1	1	1	2	1	1	3	1	1	1	1	5
mireia	1	6	8	1	4	1	3	1	10	1	9	1	2	5	1	7	1	1	1	1	1	1
leire_v	10	8	9	1	5	1	4	3	6	1	2	1	1	1	1	1	1	1	1	1	1	1
